t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
6.400000000000000133e-02,6.516881398421374705e-01,2.290106076656380996e+00,-1.602223671003128791e+00,-6.909676193945781808e-01,-6.820443733058829672e-01,1.563484635940913803e+00,2.517958324800738668e-01,-3.482275602647754570e-02,-1.776682964474263215e+00,1.714239397145904231e+00,-1.221634110345212632e+00,-2.296557481862636918e-01,1.308148949528368910e+00,-2.025525986667927114e+01,-1.100533600219942798e+01,-3.710277017251756515e+00,5.627994404153389973e-02,8.946150673621196953e-03
6.600000000000000311e-02,6.521800218365094715e-01,2.290032222672218509e+00,-1.605699808982259613e+00,-6.876077247262486480e-01,-6.844293962952299193e-01,1.563035621347251825e+00,2.577432405303270446e-01,-3.252276680799112002e-02,-1.815757036022425996e+00,1.748763192303785630e+00,-1.251257162207388918e+00,-2.348749210849699065e-01,1.287810260177167709e+00,-2.009433664973100520e+01,-1.088927516738017687e+01,-3.670176163548633408e+00,5.033290633400066411e-02,9.055861890778865719e-03
6.800000000000000488e-02,6.526840249837011498e-01,2.289962569504379264e+00,-1.609256032747379939e+00,-6.841765386483472655e-01,-6.868746730134488443e-01,1.562575937787668234e+00,2.635742115284300802e-01,-3.001743193935864709e-02,-1.853834303219124680e+00,1.782132673211198837e+00,-1.280361849649913397e+00,-2.399754533614693042e-01,1.267465919987049272e+00,-1.993216884754016149e+01,-1.077293709721301163e+01,-3.629841348666155376e+00,4.443828450078282644e-02,9.163549270354754209e-03
7.000000000000000666e-02,6.531999164096057298e-01,2.289897527844158009e+00,-1.612890348689770104e+00,-6.806763697893895015e-01,-6.893791667316906402e-01,1.562105822543392586e+00,2.692887454762071808e-01,-2.730675141777027387e-02,-1.890914766078571008e+00,1.814347839879515645e+00,-1.308948172680226563e+00,-2.449573450042985545e-01,1.247109777467308112e+00,-1.976865148655861759e+01,-1.065630219774546106e+01,-3.589266089999860299e+00,3.860471174244003989e-02,9.268880943137828426e-03
7.200000000000000844e-02,6.537274632401168795e-01,2.289837508382852160e+00,-1.616600763200711999e+00,-6.771095267778870497e-01,-6.919418407211092026e-01,1.561625512895657764e+00,2.748868423754851631e-01,-2.439072524055671196e-02,-1.926998424615254502e+00,1.845408692320149813e+00,-1.337016131305791111e+00,-2.498205960018506644e-01,1.226735785857733241e+00,-1.960368032515264503e+01,-1.053935104691234592e+01,-3.548444049677276890e+00,3.284082539389752975e-02,9.371525359627711632e-03
7.399999999999999634e-02,6.542664326011355946e-01,2.289782921811770677e+00,-1.620385282671539029e+00,-6.734783182423130787e-01,-6.945616582528839622e-01,1.561135246125737730e+00,2.803685022281158234e-01,-2.126935340636446764e-02,-1.962085278846312120e+00,1.875315230544861711e+00,-1.364565725534272911e+00,-2.545652063411261157e-01,1.206338904607551443e+00,-1.943715815239062294e+01,-1.042206587535203965e+01,-3.507370275939688753e+00,2.715530190176764988e-02,9.471154070076247614e-03
7.599999999999999811e-02,6.548165916185650914e-01,2.289734178822225630e+00,-1.624241913493613243e+00,-6.697850528111159996e-01,-6.972375825982096709e-01,1.560635259514929096e+00,2.857337250359668901e-01,-1.794263591467290878e-02,-1.996175328790554149e+00,1.904067454565631312e+00,-1.391596955373467726e+00,-2.591911760082433736e-01,1.185914730166963915e+00,-1.926899220826726378e+01,-1.030442995997989364e+01,-3.466040694535364786e+00,2.155684247309713059e-02,9.567440587095318513e-03
7.799999999999999989e-02,6.553777074183109175e-01,2.289691690105530864e+00,-1.628168662058305349e+00,-6.660320391127392270e-01,-6.999685770282849662e-01,1.560125790344535579e+00,2.909825108009098105e-01,-1.441057276510595772e-02,-2.029268574467104624e+00,1.931665364394443030e+00,-1.418109820831192636e+00,-2.636985049891391042e-01,1.165458980359355134e+00,-1.909909060121204405e+01,-1.018642678103748445e+01,-3.424451397265630526e+00,1.605415073209017982e-02,9.660058884823507011e-03
8.000000000000000167e-02,6.559495471262845046e-01,2.289655866353001556e+00,-1.632163534757052448e+00,-6.622215857755839874e-01,-7.027536048143356862e-01,1.559607075895909079e+00,2.961148595248505044e-01,-1.067316395851016300e-02,-2.061365015897750563e+00,1.958108960043285496e+00,-1.444104321915458788e+00,-2.680871932681855863e-01,1.144968409482575611e+00,-1.892736887146611480e+01,-1.006804155815613200e+01,-3.382599893066542407e+00,1.065594916438387420e-02,9.748686946431718917e-03
8.200000000000000344e-02,6.565318778684008372e-01,2.289627118255953775e+00,-1.636224537981328719e+00,-6.583560014280276373e-01,-7.055916292276027679e-01,1.559079353450429251e+00,3.011307712097133771e-01,-6.730409496397211228e-03,-2.092464653105728711e+00,1.983398241524149563e+00,-1.469580458634381026e+00,-2.723572408289040570e-01,1.124440335697788118e+00,-1.875374660232818869e+01,-9.949260457230758803e+00,-3.340484461824441809e+00,5.370970516620599683e-03,9.833004936086449030e-03
