t,q0,q1,q2,q3,q4,q5,qdot0,qdot1,qdot2,qdot3,qdot4,qdot5,tau0,tau1,tau2,tau3,tau4,tau5
3.140000000000000013e-01,7.300465010328663906e-01,2.532021830987083888e+00,-2.042254879267506151e+00,-6.141144284059268932e-01,-1.276608652132346755e+00,1.425623663754473913e+00,3.535840878526099740e-01,1.949716401911212094e+00,-9.721046257981433847e-01,-8.171341168726087290e-01,-1.456289686632830316e+00,-1.711926042779797208e-01,5.383423398892625000e-01,4.933863273287864004e+00,2.846693214523050575e+00,8.397553838730263953e-01,2.426233803740075468e-01,-1.569542902138076207e-02
3.160000000000000031e-01,7.307587310974366090e-01,2.535842678583385634e+00,-2.044328289665011678e+00,-6.156561029791487449e-01,-1.279618401559416307e+00,1.425166462921589439e+00,3.518867115629401576e-01,1.975742609135355599e+00,-9.291478475755881039e-01,-8.474974949300607685e-01,-1.424337618440889131e+00,-1.324894786472812780e-01,4.933072509732370214e-01,5.269365747666658883e+00,3.027703713905520289e+00,8.808604297689667240e-01,2.253162926063462801e-01,-1.546462612326850866e-02
3.180000000000000049e-01,7.314677192370039327e-01,2.539714386112106759e+00,-2.046318354086254843e+00,-6.172581958087814957e-01,-1.282564889948218712e+00,1.424782466843425688e+00,3.501393604596807485e-01,2.002158743167831823e+00,-8.853514800086010883e-01,-8.779617710372347172e-01,-1.392175257217529660e+00,-9.241245406009844510e-02,4.469884105088711146e-01,5.603049385028001872e+00,3.208913878355668547e+00,9.215550394178101401e-01,2.069969518471294900e-01,-1.520356024337883409e-02
3.200000000000000067e-01,7.321733654983763051e-01,2.543637733584702687e+00,-2.048223393092256650e+00,-6.189209084758839907e-01,-1.285447696694884234e+00,1.424474423390540201e+00,3.483420293089451447e-01,2.028964969242184946e+00,-8.407151738213053394e-01,-9.085266886180581869e-01,-1.359802591051520126e+00,-5.096134593717685513e-02,3.993387624274542524e-01,5.934646037418454867e+00,3.390254733618477179e+00,9.618150145049335631e-01,1.876345469250263465e-01,-1.491044135710214123e-02
3.220000000000000084e-01,7.328755699354990716e-01,2.547613500788525442e+00,-2.050041727709110084e+00,-6.206444429009548847e-01,-1.288266401228773672e+00,1.424245080282158904e+00,3.464947090881129177e-01,2.056161575915827822e+00,-7.952383263552639248e-01,-9.391918031943895517e-01,-1.327219596529650936e+00,-8.135852744881136647e-03,3.503129926455582077e-01,6.263738573197551673e+00,3.571590205382135341e+00,1.001597769997291110e+00,1.671995623026852618e-01,-1.458314144540575480e-02
3.240000000000000102e-01,7.335742326023868554e-01,2.551642467508786538e+00,-2.051771678967361012e+00,-6.224290010077446755e-01,-1.291020582979568232e+00,1.424097185236060437e+00,3.445973907382771095e-01,2.083748852927330031e+00,-7.489203325252316024e-01,-9.699566684884279866e-01,-1.294426250128553058e+00,3.606432817057193818e-02,2.998658037638793905e-01,6.589908433811316080e+00,3.752783576674017407e+00,1.040860544760296325e+00,1.456624948518826512e-01,-1.421952925206493995e-02
3.260000000000000120e-01,7.342692535490815686e-01,2.555725413644926114e+00,-2.053411567640709645e+00,-6.242747845375887783e-01,-1.293709821365926382e+00,1.424033486097375345e+00,3.426500674393767598e-01,2.111727018143526813e+00,-7.017607361436615232e-01,-1.000820948340406469e+00,-1.261422534198382017e+00,8.163942699392760793e-02,2.479502378009761643e-01,6.912823869913428787e+00,3.933738342009074351e+00,1.079571100044347309e+00,1.229928179391592824e-01,-1.381764927309023921e-02
3.280000000000000138e-01,7.349605327810674327e-01,2.559863120377896095e+00,-2.054959711621477947e+00,-6.261819931854428756e-01,-1.296333695682867049e+00,1.424056732139906467e+00,3.406527574873847164e-01,2.140095483153144684e+00,-6.537607514009845522e-01,-1.031785541926905081e+00,-1.228208496980234710e+00,1.285888609310428254e-01,1.945007078787750476e-01,7.233126983266297216e+00,4.114809100143550502e+00,1.117815240295496837e+00,9.914852294964617008e-02,-1.337751764452672562e-02
3.300000000000000155e-01,7.356479702758291772e-01,2.564056369693886950e+00,-2.056414426991460154e+00,-6.281508253604120018e-01,-1.298891785147718192e+00,1.424169673535166103e+00,3.386054949600236785e-01,2.168853152917165961e+00,-6.049226420756151912e-01,-1.062852124652521546e+00,-1.194784228118013436e+00,1.769115363495786242e-01,1.394399215852883678e-01,7.552071798464119468e+00,4.296633902799234406e+00,1.155752942824531004e+00,7.408038652433528160e-02,-1.290038938949613322e-02
3.320000000000000173e-01,7.363314660104181009e-01,2.568305943591572493e+00,-2.057774029804378735e+00,-6.301814794516642504e-01,-1.301383668976602292e+00,1.424375060468586973e+00,3.365083141797136079e-01,2.197998924541263221e+00,-5.552486882199271223e-01,-1.094022383957339528e+00,-1.161149817897576320e+00,2.266063516966025648e-01,8.269040501314364744e-02,7.870921828021144151e+00,4.479855196662340333e+00,1.193545334999358554e+00,4.773907343894404770e-02,-1.238753874017880889e-02
